source,target
2975,6384
2975,530
2975,1107983
2975,52057
2975,110380
2975,8349
2975,3084
2975,3087
2975,18471
2975,74611
2975,1407498
2975,5141
2975,5139
2975,5140
6384,530
6384,21127
6384,1692944
6384,64
6384,1776
530,529
530,532
1107983,52057
1107983,110380
1107983,181934
1107983,496175
1107983,1280183
1107983,1006651
1107983,180659
1107983,1165240
1107983,2787630
1107983,89289
1107983,2102583
1107983,73988
1107983,21111
1107983,2803017
1107983,2803001
1107983,2954
1107983,33663
1107983,2301996
1107983,214317
1107983,13716
1107983,117180
1107983,937663
1107983,1931175
1107983,2662887
1107983,1700943
1107983,938972
1107983,1236595
1107983,559610
1107983,2198533
1107983,2699648
52057,110380
52057,8654
52057,104053
52057,60158
52057,24810
52057,109686
52057,2089925
52057,2535
52057,225620
52057,1038
52057,4173
52057,349
110380,4587
110380,9780
110380,19011
110380,146687
110380,74266
110380,1122373
110380,1122374
110380,1122375
110380,68842
110380,1181293
110380,2189099
8349,3084
8349,3087
8349,3203
8349,7862
8349,26466
8349,51551
8349,5606
8349,5632
8349,1179102
8349,11367
8349,31028
8349,1397846
8349,2166741
8349,3266
8349,36059
8349,21010
8349,101032
8349,103835
8349,6717
8349,3248327
8349,1151688
8349,3264883
8349,928944
8349,2022250
8349,9979
8349,514
8349,6193
8349,1892
8349,7796
8349,851784
8349,89819
8349,2641
8349,92029
8349,218506
8349,2098136
8349,2098137
8349,2098138
8349,99272
8349,35324
8349,93896
8349,5141
8349,5139
8349,5140
3084,1158
3084,3085
3084,9857
3084,5248
3084,3087
3084,18269
3084,147
3084,82702
3084,65605
3084,47775
3084,4483
3084,13570
3084,3417
3084,68402
3084,5049
3084,68381
3087,1158
3087,3092
3087,3085
3087,12132
3087,2130
3087,932719
3087,106179
3087,10190
3087,5250
3087,8483
3087,8482
3087,6349
3087,8487
3087,8490
3087,6838
18471,74611
18471,1407498
18471,2395
18471,1735828
18471,53397
18471,514
18471,6193
18471,1892
74611,1407498
74611,2682390
74611,2227
74611,4430
74611,449538
74611,13309
74611,1661465
1407498,2395
1407498,1735828
1407498,53397
1407498,102786
1407498,128550
1407498,2320880
1407498,31
1407498,4784
1407498,516
5141,5139
5141,5140
5141,11784
5141,78021
5141,16847
5141,2714
5141,18315
5139,15309
5139,44149
5139,5140
5139,102429
5139,102334
5139,44762
5139,100360
5139,62923
5139,16178
5139,64722
5139,62596
5139,11357
5139,16847
5139,2714
5139,18315
5139,11770
5139,515
5139,349
5139,43774
5139,99596
5139,61956
5140,44762
5140,16178
5140,64722
5140,113
5140,4955
5140,15175
5140,3027
5140,131120
21127,1692944
21127,9827
21127,143103
21127,21708
21127,72983
21127,124909
21127,10297
21127,368
21127,1245
21127,4038
21127,18992
21127,2047
64,1776
64,1415341
64,1267653
64,1003
64,524
64,3894
64,1810
64,3895
64,10980
64,10989
64,10990
64,219479
64,1101349
64,1407495
64,1812
64,6383
1776,2559324
1776,2559325
1776,27888
1776,2630
1776,1
1776,7879
1776,2303
1776,5293
1776,1032
1776,1150
1776,1666
1776,2226
1776,1006721
1776,11483
1776,8349
1776,3084
1776,3087
529,532
529,46300
529,27889
529,1331
529,326
529,323
529,11099
532,6384
532,2975
532,7187
532,57371
532,3034
181934,54422
181934,496175
181934,2535
181934,2391
181934,1753
181934,82702
181934,3635
181934,11510
181934,559610
181934,2198533
181934,2699648
496175,179512
496175,1865991
496175,59785
496175,84932
496175,16450
496175,62861
496175,19278
496175,49265
1280183,1006651
1280183,180659
1280183,1165240
180659,1408141
180659,116341
180659,1165240
180659,1006651
2787630,938972
2787630,2149806
2787630,1386798
2787630,100709
2787630,89289
2787630,21111
2787630,2802990
2787630,2803001
2787630,2803017
2787630,13348
2787630,1247141
89289,117418
89289,1188876
89289,52057
89289,110380
89289,181934
89289,496175
89289,1122373
89289,1122374
89289,1122375
89289,1280183
89289,1006651
89289,61399
89289,1232728
89289,1723195
2102583,73988
2102583,21111
73988,21111
73988,1050881
73988,68842
73988,1181293
73988,2189099
73988,2954
73988,33663
73988,2301996
73988,556514
73988,3204409
73988,145819
73988,1165240
73988,1280183
73988,1152
73988,3331792
73988,120578
73988,57738
73988,1141815
73988,1204877
73988,937663
73988,1931175
73988,2662887
73988,1700943
73988,938972
73988,1236595
73988,559610
73988,2198533
73988,2699648
73988,1257876
73988,1051824
73988,1998031
73988,1116399
73988,102786
73988,18802
21111,1050881
21111,1802110
21111,7571
21111,84378
21111,1420
21111,2102600
21111,2803017
21111,2803001
21111,524
21111,225009
21111,6431
21111,556514
21111,3204409
21111,145819
21111,214317
21111,13716
21111,117180
21111,1152
21111,3331792
21111,120578
21111,57738
21111,1141815
21111,1204877
21111,1670479
21111,1625013
21111,84384
21111,559610
21111,2198533
21111,2699648
21111,2214123
21111,2412677
21111,2412679
2803017,2803001
2954,33663
2954,2301996
2954,25072
2954,3910
2954,1241
33663,1145892
33663,1807640
33663,557911
33663,7447
33663,1748
33663,11161
33663,2301996
33663,27765
33663,1167702
33663,1167703
33663,2323039
33663,2339577
33663,10127
33663,1229169
33663,16214
33663,227811
33663,1222706
33663,1116399
33663,102786
33663,18802
33663,1816204
33663,1816207
33663,3342345
33663,1954181
33663,240633
33663,1306642
33663,2289540
33663,2662043
33663,2266228
33663,2435679
33663,2266230
33663,1289968
33663,1718961
33663,2762565
33663,56446
33663,237743
33663,568535
33663,1326321
33663,57342
33663,2569912
33663,2601848
33663,1173567
33663,16620
33663,77120
33663,1700943
33663,938972
33663,1236595
33663,1647876
33663,3252749
33663,3370866
33663,559610
33663,2198533
33663,2699648
33663,68842
33663,1181293
33663,2189099
33663,28151
33663,2982422
33663,3242458
33663,82702
33663,3635
33663,11510
33663,2214123
33663,2412677
33663,2412679
33663,117817
33663,2353023
33663,2932834
33663,1257899
33663,84788
33663,240948
33663,5469
33663,2398868
33663,3203938
33663,567335
33663,115788
33663,112219
33663,25504
33663,160733
2301996,2189100
2301996,1671675
2301996,1644623
2301996,68842
2301996,1181293
2301996,2189099
2301996,1647876
2301996,3252749
2301996,3370866
214317,13716
214317,117180
13716,117180
13716,21278
13716,13724
13716,7447
117180,1428889
117180,3323316
117180,937663
117180,937664
117180,937665
117180,21278
117180,13724
117180,7447
117180,2130
117180,16431
117180,2203
937663,937664
937663,937665
937663,1931175
937663,2662887
1931175,2662887
1700943,938972
1700943,1236595
938972,1236595
938972,2149806
938972,2791669
938972,2791670
938972,1262488
938972,10055
938972,81724
1236595,2130
1236595,16431
1236595,2203
559610,2198533
559610,2699648
2198533,2699648
8654,2059
8654,7132
8654,104053
8654,1357571
8654,1357572
8654,1357573
8654,21278
8654,13724
8654,7447
104053,64825
104053,175981
104053,21246
104053,94814
104053,16476
60158,24810
60158,5788
60158,87514
60158,2177
60158,11140
24810,41250
24810,33716
109686,2089925
2089925,108081
2089925,88183
2089925,44822
2535,562922
2535,21215
2535,225620
2535,2654014
2535,2673964
2535,21563
2535,2939038
2535,2391
2535,1753
2535,8689
2535,2297056
2535,58924
2535,21355
2535,1922617
2535,587035
2535,479206
2535,154382
2535,31134
2535,74613
2535,1220781
2535,115002
2535,7447
225620,1395884
225620,105762
225620,1142232
1038,4173
1038,349
1038,380
1038,13
4173,5049
4173,10774
4173,39187
4173,34546
4173,349
4173,7447
4173,9560
4173,3085
4173,4786
4173,707
4173,326
349,59219
349,15675
349,1137
349,11770
349,515
349,8349
349,3084
349,3087
4587,33181
4587,63611
4587,53574
4587,16217
4587,9780
4587,10696
4587,10690
4587,2710
4587,8691
4587,11008
4587,11091
4587,1160
4587,1813
4587,37153
4587,8891
4587,44038
4587,1121437
4587,70243
4587,15973
4587,16108
4587,20494
4587,20584
4587,590821
9780,44796
9780,77896
9780,35705
9780,143242
9780,174837
9780,134
9780,56323
9780,78577
9780,3223
9780,16828
9780,103
19011,1189929
19011,7904
19011,146687
19011,74266
19011,2801284
19011,1220601
19011,1066763
19011,8261
19011,50707
19011,68842
19011,1181293
19011,2189099
19011,3273875
19011,3622690
19011,3622691
19011,1322032
19011,1322033
19011,1322034
19011,1670479
19011,1625013
19011,84384
19011,1152
19011,3331792
19011,120578
19011,3492377
19011,3492379
19011,3492380
19011,1700943
19011,938972
19011,1236595
19011,2130
19011,16431
19011,2203
19011,117817
19011,2353023
19011,2932834
146687,74266
146687,2203808
146687,1189929
146687,1442410
146687,1442411
146687,1306064
146687,174981
146687,558240
146687,3492377
146687,3492379
146687,3492380
146687,139654
146687,43019
146687,548763
146687,37759
146687,20056
146687,2330903
1122373,1122374
1122373,1122375
1122374,1122375
68842,1181293
68842,2189099
68842,447244
68842,206444
68842,1582
68842,1224812
68842,19223
68842,1979
68842,516
68842,2155
1181293,116341
1181293,216674
1181293,2189099
1181293,975085
1181293,1719741
1181293,1189929
2189099,3609598
2189099,2266228
2189099,2435679
2189099,2266230
3203,7862
3203,70899
3203,42626
3203,6804
3203,69302
3203,65529
7862,72861
7862,84919
7862,237532
7862,7447
7862,9560
7862,3085
26466,51551
51551,90654
51551,8699
51551,109899
51551,500
51551,996701
51551,6161
5606,5632
5606,54693
5606,19492
5606,6944
5606,1666
5606,2226
5606,1776
11367,31028
31028,5375
31028,52646
31028,1734
31028,287
31028,192
31028,12052
1397846,2166741
3266,5376
3266,5937
3266,26009
3266,1067583
3266,36059
3266,10427
3266,781
3266,33
3266,5149
3266,2710
3266,4587
3266,8691
3266,2144
3266,141
3266,2505
36059,1226195
36059,13637
21010,76184
21010,75781
21010,101032
21010,39770
21010,34721
21010,83908
21010,1748
21010,8499
21010,16896
21010,8857
21010,15395
101032,21315
101032,47879
101032,1582
103835,6717
6717,6474
6717,69122
6717,65344
6717,6677
6717,6678
